,kaf
1921-10-31,341275.12966
1921-11-30,341359.54231999995
1921-12-31,341417.74281999987
1922-01-31,341460.21339
1922-02-28,341490.46261
1922-03-31,341530.09063999995
1922-04-30,341550.45096999995
1922-05-31,341580.51982999995
1922-06-30,341607.56572
1922-07-31,341631.81527
1922-08-31,341652.79124
1922-09-30,341641.77453
1922-10-31,341641.22619
1922-11-30,341636.87685
1922-12-31,341633.66335
1923-01-31,341633.50092
1923-02-28,341628.68013999995
1923-03-31,341640.37417
1923-04-30,341640.53449999995
1923-05-31,341650.25436
1923-06-30,341664.79724999995
1923-07-31,341672.78465752274
1923-08-31,341619.0179160603
1923-09-30,341597.36620606034
1923-10-31,341586.88686606026
1923-11-30,341574.75152606034
1923-12-31,341564.6960260602
1924-01-31,341561.44559606025
1924-02-29,341551.29181606026
1924-03-31,341547.9394942816
1924-04-30,341530.1329784318
1924-05-31,341440.1685222263
1924-06-30,341325.1033529377
1924-07-31,341196.23900175194
1924-08-31,341102.4809750028
1924-09-30,341080.70126500283
1924-10-31,341067.71492500283
1924-11-30,341053.50358500285
1924-12-31,341041.1520850029
1925-01-31,341032.3606550029
1925-02-28,341019.0858750029
1925-03-31,341021.97990500287
1925-04-30,341014.9762350029
1925-05-31,341016.9020950029
1925-06-30,340948.9098957016
1925-07-31,340862.07854451577
1925-08-31,340783.3747472645
1925-09-30,340757.40403726447
1925-10-31,340741.9626972645
1925-11-30,340724.8253572645
1925-12-31,340710.2228572645
1926-01-31,340700.9344272645
1926-02-28,340686.3986472645
1926-03-31,340679.9793254859
1926-04-30,340674.10765548586
1926-05-31,340631.01419928035
1926-06-30,340558.27802999184
1926-07-31,340435.8601374302
1926-08-31,340336.8570575723
1926-09-30,340310.25034757226
1926-10-31,340294.10200757225
1926-11-30,340275.69566757226
1926-12-31,340258.84616757225
1927-01-31,340243.62073757226
1927-02-28,340229.7689575723
1927-03-31,340228.35998757224
1927-04-30,340216.1463175722
1927-05-31,340215.2101775722
1927-06-30,340211.48906757217
1927-07-31,340206.58761757216
1927-08-31,340200.4215875722
1927-09-30,340169.4238775722
1927-10-31,340148.6275375722
1927-11-30,340126.8561975722
1927-12-31,340108.3376975722
1928-01-31,340092.48526757216
1928-02-29,340074.14748757216
1928-03-31,340063.2461657935
1928-04-30,340050.9824957935
1928-05-31,340005.277039588
1928-06-30,339932.4338702994
1928-07-31,339805.7622416704
1928-08-31,339716.61491538765
1928-09-30,339687.35420538764
1928-10-31,339668.6638653877
1928-11-30,339648.3225253877
1928-12-31,339630.9310253877
1929-01-31,339615.70759538765
1929-02-28,339598.0628153877
1929-03-31,339587.70949360897
1929-04-30,339575.93382360897
1929-05-31,339533.7603674035
1929-06-30,339437.9493981568
1929-07-31,339298.590046971
1929-08-31,339192.06658022193
1929-09-30,339163.38887022185
1929-10-31,339143.0475302219
1929-11-30,339123.2161902219
1929-12-31,339106.0106902219
1930-01-31,339091.5532602219
1930-02-28,339073.3014802219
1930-03-31,339066.0391584433
1930-04-30,339057.19448844326
1930-05-31,339010.48403223767
1930-06-30,338910.5258629492
1930-07-31,338782.46897038753
1930-08-31,338680.779372562
1930-09-30,338644.29999170307
1930-10-31,338605.53962346737
1930-11-30,338585.1652834674
1930-12-31,338567.5367834674
1931-01-31,338552.8903534674
1931-02-28,338534.8395734674
1931-03-31,338497.2702516887
1931-04-30,338450.38420413993
1931-05-31,338354.95274793444
1931-06-30,338228.59757864586
1931-07-31,338093.7302274601
1931-08-31,337987.70355071104
1931-09-30,337958.897840711
1931-10-31,337937.941500711
1931-11-30,337917.74616071105
1931-12-31,337909.50266071106
1932-01-31,337901.06323071104
1932-02-29,337893.17645071103
1932-03-31,337895.079480711
1932-04-30,337890.044810711
1932-05-31,337896.87667071103
1932-06-30,337906.85756071104
1932-07-31,337912.785110711
1932-08-31,337843.5913692486
1932-09-30,337811.9826592486
1932-10-31,337791.4243192486
1932-11-30,337770.94497924857
1932-12-31,337757.6234792485
1933-01-31,337751.78604924853
1933-02-28,337732.7512692485
1933-03-31,337727.46429924853
1933-04-30,337715.3246292485
1933-05-31,337675.8501350034
1933-06-30,337624.4792816346
1933-07-31,337532.44393044885
1933-08-31,337464.0231889864
1933-09-30,337433.6664789864
1933-10-31,337412.1381389864
1933-11-30,337391.2717989864
1933-12-31,337373.1742989864
1934-01-31,337357.0528689864
1934-02-28,337338.36808898643
1934-03-31,337332.2237672077
1934-04-30,337310.86825135787
1934-05-31,337216.24527751113
1934-06-30,337084.1831082226
1934-07-31,336942.6507570369
1934-08-31,336834.6029202877
1934-09-30,336804.8492102877
1934-10-31,336782.85787028767
1934-11-30,336762.4145302877
1934-12-31,336744.9050302877
1935-01-31,336729.18960028776
1935-02-28,336710.99682028784
1935-03-31,336707.4848502878
1935-04-30,336702.0161802878
1935-05-31,336699.3300402878
1935-06-30,336630.255855624
1935-07-31,336537.0095044382
1935-08-31,336467.5787629757
1935-09-30,336437.5470529757
1935-10-31,336415.7397129757
1935-11-30,336395.1613729757
1935-12-31,336376.6168729757
1936-01-31,336361.8724429757
1936-02-29,336358.9736629757
1936-03-31,336354.7386929757
1936-04-30,336347.4440229757
1936-05-31,336348.81588297576
1936-06-30,336343.2577729758
1936-07-31,336337.8653229758
1936-08-31,336266.67058151326
1936-09-30,336235.31187151326
1936-10-31,336213.1475315133
1936-11-30,336191.37719151325
1936-12-31,336177.46069151326
1937-01-31,336161.4302615133
1937-02-28,336168.4024815133
1937-03-31,336168.06151151325
1937-04-30,336163.2828415133
1937-05-31,336177.52770151326
1937-06-30,336174.1215915133
1937-07-31,336166.40714151325
1937-08-31,336158.1391115133
1937-09-30,336126.71240151324
1937-10-31,336104.69606151327
1937-11-30,336083.2407215133
1937-12-31,336075.8012215133
1938-01-31,336057.6917915133
1938-02-28,336043.9940115133
1938-03-31,336060.7670415133
1938-04-30,336057.27637151326
1938-05-31,336065.52923151327
1938-06-30,336069.20612151327
1938-07-31,336063.8346715133
1938-08-31,336054.5866415133
1938-09-30,336024.1779315133
1938-10-31,336002.2895915133
1938-11-30,335980.9492515133
1938-12-31,335963.74275151326
1939-01-31,335948.2933215133
1939-02-28,335934.27754151326
1939-03-31,335934.16857151326
1939-04-30,335923.5269015133
1939-05-31,335916.5467615133
1939-06-30,335908.84465151327
1939-07-31,335816.0803003276
1939-08-31,335718.9005588651
1939-09-30,335689.6878488651
1939-10-31,335670.96550886513
1939-11-30,335651.7481688652
1939-12-31,335635.15466886514
1940-01-31,335635.8192388652
1940-02-29,335627.3754588652
1940-03-31,335623.8614888652
1940-04-30,335613.73381886515
1940-05-31,335615.53067886515
1940-06-30,335611.9785688652
1940-07-31,335606.1681188652
1940-08-31,335601.3940888652
1940-09-30,335572.1513788652
1940-10-31,335551.67103886517
1940-11-30,335531.6836988652
1940-12-31,335520.1241988652
1941-01-31,335510.7687688652
1941-02-28,335507.3569888652
1941-03-31,335513.9290188652
1941-04-30,335508.35034886515
1941-05-31,335530.37520886515
1941-06-30,335537.50409886515
1941-07-31,335538.6496488652
1941-08-31,335532.8706188652
1941-09-30,335504.5269088652
1941-10-31,335486.6035688652
1941-11-30,335466.0842288652
1941-12-31,335457.51472886524
1942-01-31,335449.8252988652
1942-02-28,335436.9645188652
1942-03-31,335432.6655488652
1942-04-30,335427.2998788652
1942-05-31,335427.9337388652
1942-06-30,335433.43362886517
1942-07-31,335436.4511788652
1942-08-31,335438.28014886513
1942-09-30,335410.9014388651
1942-10-31,335393.7130988651
1942-11-30,335375.23475886515
1942-12-31,335359.87325886515
1943-01-31,335370.9678288652
1943-02-28,335358.7440488652
1943-03-31,335386.3770788652
1943-04-30,335380.7724088652
1943-05-31,335385.3792688652
1943-06-30,335384.05015886517
1943-07-31,335387.0517088652
1943-08-31,335388.7466788652
1943-09-30,335361.7699688652
1943-10-31,335345.8996288652
1943-11-30,335327.4292888652
1943-12-31,335312.5127888652
1944-01-31,335299.4763588652
1944-02-29,335292.5535788652
1944-03-31,335300.2116088652
1944-04-30,335293.2709388652
1944-05-31,335299.4907988652
1944-06-30,335304.99768886523
1944-07-31,335315.68323886517
1944-08-31,335261.3894974028
1944-09-30,335237.0967874028
1944-10-31,335223.4524474028
1944-11-30,335207.60310740274
1944-12-31,335194.87160740275
1945-01-31,335183.35517740273
1945-02-28,335186.6763974027
1945-03-31,335191.42442740273
1945-04-30,335189.5857574027
1945-05-31,335196.05461740267
1945-06-30,335203.1075074027
1945-07-31,335213.1180574027
1945-08-31,335223.6100274027
1945-09-30,335198.89531740267
