,kaf
1921-10-31,97237.9778
1921-11-30,97248.5051
1921-12-31,97260.2847
1922-01-31,97274.3328
1922-02-28,97292.2586
1922-03-31,97308.3638
1922-04-30,97337.0147
1922-05-31,97391.7899
1922-06-30,97451.83479999998
1922-07-31,97370.20041951428
1922-08-31,97374.13670353973
1922-09-30,97391.40830353972
1922-10-31,97398.39210353972
1922-11-30,97399.47640353972
1922-12-31,97404.91400353973
1923-01-31,97408.83910353972
1923-02-28,97412.37390353973
1923-03-31,97402.47410353973
1923-04-30,97408.95249053653
1923-05-31,97462.14069053653
1923-06-30,97413.07811600009
1923-07-31,97305.36211600009
1923-08-31,97202.9031160001
1923-09-30,97209.93130973652
1923-10-31,97215.82510973653
1923-11-30,97215.65340973652
1923-12-31,97215.94400973653
1924-01-31,97214.71110973653
1924-02-29,97214.33490973653
1924-03-31,97201.39510973652
1924-04-30,97151.33800973653
1924-05-31,97043.23920973652
1924-06-30,96929.29110973653
1924-07-31,96812.97910973652
1924-08-31,96706.94310973653
1924-09-30,96659.30970973652
1924-10-31,96637.73050973652
1924-11-30,96637.13280973652
1924-12-31,96638.34140973652
1925-01-31,96639.00350973652
1925-02-28,96641.77930973652
1925-03-31,96632.05450973652
1925-04-30,96581.80840973652
1925-05-31,96480.44460973653
1925-06-30,96374.99550973652
1925-07-31,96264.14850973652
1925-08-31,96161.03450973652
1925-09-30,96114.72110973652
1925-10-31,96093.80690973652
1925-11-30,96092.95920973652
1925-12-31,96093.11380973652
1926-01-31,96092.28190973653
1926-02-28,96093.00270973652
1926-03-31,96082.71790973653
1926-04-30,96035.53880973652
1926-05-31,95932.24900973652
1926-06-30,95820.02290973652
1926-07-31,95705.93790973652
1926-08-31,95601.52490973653
1926-09-30,95554.98550973652
1926-10-31,95534.11130973653
1926-11-30,95537.10860973652
1926-12-31,95540.12920973652
1927-01-31,95542.42030973652
1927-02-28,95553.56210973652
1927-03-31,95549.53630973652
1927-04-30,95502.29920973652
1927-05-31,95526.47149293094
1927-06-30,95578.00939293094
1927-07-31,95471.30439293094
1927-08-31,95449.4246925606
1927-09-30,95464.84929256061
1927-10-31,95470.5950925606
1927-11-30,95473.1523925606
1927-12-31,95474.2219925606
1928-01-31,95474.0430925606
1928-02-29,95474.1268925606
1928-03-31,95464.2820925606
1928-04-30,95412.80299256061
1928-05-31,95308.2571925606
1928-06-30,95195.59809256057
1928-07-31,95079.3980925606
1928-08-31,94973.2890925606
1928-09-30,94925.4636925606
1928-10-31,94903.5764925606
1928-11-30,94901.6297925606
1928-12-31,94901.21539256061
1929-01-31,94900.8134925606
1929-02-28,94901.19029256061
1929-03-31,94889.41449256061
1929-04-30,94839.8993925606
1929-05-31,94745.0095925606
1929-06-30,94639.21349256056
1929-07-31,94528.84649256057
1929-08-31,94426.18749256057
1929-09-30,94381.07309256056
1929-10-31,94360.16189256057
1929-11-30,94359.67019256056
1929-12-31,94359.82379256056
1930-01-31,94359.89489256057
1930-02-28,94361.34869256057
1930-03-31,94350.37289256057
1930-04-30,94301.15679256056
1930-05-31,94196.40299256057
1930-06-30,94092.10289256056
1930-07-31,93979.96289256056
1930-08-31,93876.03189256057
1930-09-30,93829.56949256056
1930-10-31,93808.30829256057
1930-11-30,93807.5095925606
1930-12-31,93806.73719256057
1931-01-31,93806.3022925606
1931-02-28,93806.3340925606
1931-03-31,93794.7782925606
1931-04-30,93741.38819256057
1931-05-31,93634.74539256057
1931-06-30,93523.54529256056
1931-07-31,93406.71729256057
1931-08-31,93300.5472925606
1931-09-30,93252.9088925606
1931-10-31,93230.26069256061
1931-11-30,93228.3719925606
1931-12-31,93231.0095925606
1932-01-31,93236.8356925606
1932-02-29,93246.7154925606
1932-03-31,93243.80969256061
1932-04-30,93200.6305925606
1932-05-31,93156.8828097445
1932-06-30,93221.99570974447
1932-07-31,93191.41328925877
1932-08-31,93158.16429229069
1932-09-30,93185.22389229068
1932-10-31,93198.49169229069
1932-11-30,93203.60099229068
1932-12-31,93207.50859229069
1933-01-31,93214.30369229069
1933-02-28,93218.64149229068
1933-03-31,93209.68269229068
1933-04-30,93166.04659229069
1933-05-31,93059.57379229068
1933-06-30,92968.29669229068
1933-07-31,92867.51269229068
1933-08-31,92770.32569229069
1933-09-30,92728.12829229068
1933-10-31,92709.47409229066
1933-11-30,92710.71539229066
1933-12-31,92713.52299229066
1934-01-31,92716.09709229067
1934-02-28,92718.32189229064
1934-03-31,92707.95509229065
1934-04-30,92657.73499229064
1934-05-31,92548.73919229064
1934-06-30,92435.91009229065
1934-07-31,92320.73209229065
1934-08-31,92215.58409229065
1934-09-30,92168.09069229064
1934-10-31,92145.89849229062
1934-11-30,92144.72979229064
1934-12-31,92145.27139229064
1935-01-31,92150.66349229062
1935-02-28,92157.56429229064
1935-03-31,92153.53049229062
1935-04-30,92115.07239229062
1935-05-31,92040.90081728432
1935-06-30,92098.73471728431
1935-07-31,92075.33562922051
1935-08-31,92124.1656292205
1935-09-30,92150.2702292205
1935-10-31,92163.0100292205
1935-11-30,92168.0823292205
1935-12-31,92171.8899292205
1936-01-31,92175.77802922051
1936-02-29,92188.29082922051
1936-03-31,92199.3580292205
1936-04-30,92227.9849292205
1936-05-31,92291.77712922051
1936-06-30,92341.12302922051
1936-07-31,92413.5740292205
1936-08-31,92461.5140292205
1936-09-30,92485.4656292205
1936-10-31,92496.28142922051
1936-11-30,92499.2487292205
1936-12-31,92504.1353292205
1937-01-31,92509.77242922052
1937-02-28,92522.99922922053
1937-03-31,92526.26142922053
1937-04-30,92547.63832922053
