,kaf
1921-10-31,178908.47130259624
1921-11-30,178956.74655231985
1921-12-31,178996.36108353405
1922-01-31,179029.46277467915
1922-02-28,179059.2949058144
1922-03-31,179088.2491926061
1922-04-30,179115.31278855872
1922-05-31,179169.21406274434
1922-06-30,179152.67943965844
1922-07-31,179085.5706044054
1922-08-31,179099.26148832272
1922-09-30,179119.30830970476
1922-10-31,179144.02561230102
1922-11-30,179162.26286202465
1922-12-31,179180.33139323886
1923-01-31,179196.7480843839
1923-02-28,179212.38621551913
1923-03-31,179239.50850231087
1923-04-30,179257.77509826352
1923-05-31,179283.99319726598
1923-06-30,179146.36014878945
1923-07-31,178970.90414635112
1923-08-31,178825.48326200762
1923-09-30,178837.99508338966
1923-10-31,178854.8353859859
1923-11-30,178865.3216357095
1923-12-31,178874.7241669237
1924-01-31,178886.79785806878
1924-02-29,178895.52098920406
1924-03-31,178829.2292750086
1924-04-30,178841.70487096126
1924-05-31,178780.01674436565
1924-06-30,178595.05172864007
1924-07-31,178411.88272620176
1924-08-31,178262.89084185823
1924-09-30,178267.56266324024
1924-10-31,178279.0389658365
1924-11-30,178284.7262155601
1924-12-31,178290.27474677435
1925-01-31,178295.68243791946
1925-02-28,178301.62056905468
1925-03-31,178318.19585584637
1925-04-30,178327.40145179894
1925-05-31,178339.20055080147
1925-06-30,178200.71150232496
1925-07-31,178124.65066707187
1925-08-31,178047.69119695356
1925-09-30,178051.87701833554
1925-10-31,178063.07332093178
1925-11-30,178067.3635706554
1925-12-31,178071.0401018696
1926-01-31,178075.22279301478
1926-02-28,178079.42892415
1926-03-31,178093.0272109417
1926-04-30,178101.8918068943
1926-05-31,178114.15190589678
1926-06-30,177973.6738574203
1926-07-31,177897.83702216725
1926-08-31,177899.63073822056
1926-09-30,177901.66055960258
1926-10-31,177910.64386219886
1926-11-30,177916.80511192247
1926-12-31,177920.34464313663
1927-01-31,177923.51533428175
1927-02-28,177928.83346541703
1927-03-31,177937.0387522087
1927-04-30,177944.29634816133
1927-05-31,177958.61344716387
1927-06-30,177818.6343986873
1927-07-31,177747.77356343425
1927-08-31,177757.02854331594
1927-09-30,177759.77036469796
1927-10-31,177766.85166729422
1927-11-30,177771.74591701786
1927-12-31,177774.89144823203
1928-01-31,177777.73313937715
1928-02-29,177780.38227051246
1928-03-31,177792.82855730414
1928-04-30,177800.19515325673
1928-05-31,177811.36625225926
1928-06-30,177674.09520378272
1928-07-31,177521.58122852966
1928-08-31,177381.02634418613
1928-09-30,177369.88913792747
1928-10-31,177341.21181367282
1928-11-30,177331.11226082977
1928-12-31,177332.05979204393
1929-01-31,177332.2404831891
1929-02-28,177332.28761432433
1929-03-31,177257.40190012887
1929-04-30,177224.18854445266
1929-05-31,177105.6901039295
1929-06-30,176918.2520882039
1929-07-31,176747.71808576558
1929-08-31,176606.53020142208
1929-09-30,176605.5350228041
1929-10-31,176609.72832540036
1929-11-30,176609.23657512394
1929-12-31,176608.33110633816
1930-01-31,176607.47579748332
1930-02-28,176606.53592861854
1930-03-31,176612.04121541028
1930-04-30,176614.5908113629
1930-05-31,176491.8183708397
1930-06-30,176307.71335511413
1930-07-31,176135.59635267578
1930-08-31,175993.6194683323
1930-09-30,175980.32126207364
1930-10-31,175982.62156466988
1930-11-30,175981.73381439352
1930-12-31,175980.4033456077
1931-01-31,175979.1560367528
