,kaf
1921-10-31,141922.02405
1921-11-30,142034.19209
1921-12-31,142134.39388
1922-01-31,142212.80902000002
1922-02-28,142285.25567999994
1922-03-31,142294.27852999998
1922-04-30,142292.45592999994
1922-05-31,142317.12497999994
1922-06-30,142331.27902999998
1922-07-31,142345.85034999994
1922-08-31,142354.68682999993
1922-09-30,142340.18016999995
1922-10-31,142327.26721999995
1922-11-30,142309.80525999994
1922-12-31,142296.31004999994
1923-01-31,142278.44018999994
1923-02-28,142260.58784999995
1923-03-31,142249.30269999994
1923-04-30,142230.64109999995
1923-05-31,142224.11814999994
1923-06-30,142226.91219999993
1923-07-31,142229.70551999993
1923-08-31,142229.39999999994
1923-09-30,142207.43433999995
1923-10-31,142188.51038999995
1923-11-30,142165.01442999995
1923-12-31,142139.87421999994
1924-01-31,142117.98535999993
1924-02-29,142093.57301999992
1924-03-31,142079.52786999993
1924-04-30,142056.56926999992
1924-05-31,142040.31431999992
1924-06-30,142040.36036999992
1924-07-31,142040.28168999992
1924-08-31,142037.77716999993
1924-09-30,142012.60250999994
1924-10-31,141989.66655999993
1924-11-30,141963.42259999993
1924-12-31,141937.23338999992
1925-01-31,141912.28852999993
1925-02-28,141886.88818999994
1925-03-31,141874.46103999994
1925-04-30,141849.21743999995
1925-05-31,141832.52548999994
1925-06-30,141832.71953999993
1925-07-31,141830.46885999994
1925-08-31,141827.12333999993
1925-09-30,141801.11767999994
1925-10-31,141778.11672999995
1925-11-30,141750.57076999993
1925-12-31,141722.32955999995
1926-01-31,141694.66869999995
1926-02-28,141668.57835999996
1926-03-31,141649.56420999995
1926-04-30,141628.71460999994
1926-05-31,141620.15865999993
1926-06-30,141620.13370999994
1926-07-31,141618.38002999994
1926-08-31,141615.26550999994
1926-09-30,141587.68284999998
1926-10-31,141563.30089999994
1926-11-30,141553.20493999994
1926-12-31,141525.82372999995
1927-01-31,141540.89886964142
1927-02-28,141543.4505296414
1927-03-31,141521.53037964142
1927-04-30,141497.84977964146
1927-05-31,141501.40882964144
1927-06-30,141505.90387964144
1927-07-31,141504.51819964143
1927-08-31,141501.36367964142
1927-09-30,141475.23101964142
1927-10-31,141451.00306964142
1927-11-30,141424.58610964142
1927-12-31,141396.62089964142
1928-01-31,141371.2920396414
1928-02-29,141343.36969964142
1928-03-31,141322.77954964142
1928-04-30,141296.8609496414
1928-05-31,141280.83599964142
1928-06-30,141280.37204964142
1928-07-31,141279.11036964142
1928-08-31,141275.3798496414
1928-09-30,141247.7201896414
1928-10-31,141223.0882396414
1928-11-30,141193.5212796414
1928-12-31,141164.3430696414
1929-01-31,141135.41120964134
1929-02-28,141106.68486964138
1929-03-31,141085.50571964134
1929-04-30,141058.55811964136
1929-05-31,141042.26516964135
1929-06-30,141040.78021964134
1929-07-31,141037.29353964134
1929-08-31,141032.32501964134
1929-09-30,141003.28735964134
1929-10-31,140976.27040964135
1929-11-30,140946.04844964136
1929-12-31,140914.42523964134
1930-01-31,140889.54637964134
1930-02-28,140860.12803964133
1930-03-31,140838.62988964134
1930-04-30,140811.38328964135
1930-05-31,140791.78133964134
1930-06-30,140789.16938964135
1930-07-31,140784.61870964133
1930-08-31,140778.80118964135
1930-09-30,140748.87852964134
1930-10-31,140721.31657964134
1930-11-30,140690.34261964133
1930-12-31,140658.28840964133
1931-01-31,140633.15154964133
1931-02-28,140601.97520964133
1931-03-31,140580.73505964133
1931-04-30,140550.60945964133
1931-05-31,140535.08550964133
1931-06-30,140528.76155964134
1931-07-31,140524.35987964133
1931-08-31,140516.92135964133
1931-09-30,140486.96669964134
1931-10-31,140459.04974964133
1931-11-30,140429.59478964133
1931-12-31,140423.07957964131
1932-01-31,140397.6067196413
1932-02-29,140390.0993796413
1932-03-31,140387.5782296413
1932-04-30,140395.45962964132
1932-05-31,140460.06767964133
1932-06-30,140545.77572964132
1932-07-31,140574.48704964132
1932-08-31,140568.05352964133
1932-09-30,140539.18786964132
1932-10-31,140511.88791964133
1932-11-30,140481.47895964133
1932-12-31,140449.72674964133
1933-01-31,140473.23288964134
1933-02-28,140443.30854964134
1933-03-31,140421.21139964135
1933-04-30,140390.18979964135
1933-05-31,140376.96984964135
1933-06-30,140371.19289964135
1933-07-31,140362.98921964134
1933-08-31,140354.57369964133
1933-09-30,140324.80703964134
1933-10-31,140296.44008964134
1933-11-30,140265.19212964133
1933-12-31,140233.05291964134
1934-01-31,140203.24805964134
1934-02-28,140172.38871964134
