,kaf
1921-10-31,137098.1018
1921-11-30,137113.60196
1921-12-31,137127.25696
1922-01-31,137139.63076
1922-02-28,137150.58284000002
1922-03-31,137161.62688
1922-04-30,137173.80624
1922-05-31,137186.58372
1922-06-30,137192.70368
1922-07-31,137202.14648
1922-08-31,137206.329616382
1922-09-30,137209.153376382
1922-10-31,137211.497176382
1922-11-30,137213.869336382
1922-12-31,137217.702336382
1923-01-31,137221.567136382
1923-02-28,137223.15321638202
1923-03-31,137225.99825638198
1923-04-30,137232.546616382
1923-05-31,137212.7639996721
1923-06-30,137181.82360653154
1923-07-31,137111.1058651557
1923-08-31,137068.55066104798
1923-09-30,137067.51542104798
1923-10-31,137066.27822104798
1923-11-30,137065.55338104794
1923-12-31,137065.76338104796
1924-01-31,137064.72318104794
1924-02-29,137063.95058104795
1924-03-31,137037.11541827125
1924-04-30,136986.42614397415
1924-05-31,136863.86562397415
1924-06-30,136736.74458397413
1924-07-31,136611.90538397414
1924-08-31,136485.86814397413
1924-09-30,136481.62190397413
1924-10-31,136477.48670397414
1924-11-30,136475.28930397413
1924-12-31,136474.65330397413
1925-01-31,136473.47710397418
1925-02-28,136472.49850397414
1925-03-31,136472.80054397418
1925-04-30,136474.7459039742
1925-05-31,136434.6238369837
1925-06-30,136373.55344384312
1925-07-31,136299.76870246723
1925-08-31,136191.47849835956
1925-09-30,136187.35425835956
1925-10-31,136183.29405835955
1925-11-30,136180.51621835955
1925-12-31,136179.07121835955
1926-01-31,136176.62201835954
1926-02-28,136175.27941835954
1926-03-31,136172.04445835954
1926-04-30,136174.29281835956
1926-05-31,136122.09920164966
1926-06-30,136055.05078850908
1926-07-31,135929.79358850908
1926-08-31,135803.7093485091
1926-09-30,135798.28110850908
1926-10-31,135792.7439085091
1926-11-30,135790.5375085091
1926-12-31,135788.9235085091
1927-01-31,135787.82230850912
1927-02-28,135789.14038850908
1927-03-31,135790.49542850908
1927-04-30,135791.99178850907
1927-05-31,135771.7301717992
1927-06-30,135740.63077865858
1927-07-31,135693.77203728273
1927-08-31,135660.72008145315
1927-09-30,135657.10284145313
1927-10-31,135654.61164145314
1927-11-30,135652.82524145313
1927-12-31,135651.86324145313
1928-01-31,135649.93504145314
1928-02-29,135648.09344145315
1928-03-31,135646.57348145315
1928-04-30,135645.75984145314
1928-05-31,135592.77022474323
1928-06-30,135529.2979820005
1928-07-31,135405.80478200052
1928-08-31,135280.4525420005
1928-09-30,135275.0293020005
1928-10-31,135269.4331020005
1928-11-30,135266.4987020005
1928-12-31,135264.5597020005
1929-01-31,135262.3655020005
1929-02-28,135259.14290200052
1929-03-31,135257.1949420005
1929-04-30,135256.2143020005
1929-05-31,135202.64068529062
1929-06-30,135074.73064529063
1929-07-31,134951.71344529063
1929-08-31,134826.22020529062
1929-09-30,134820.4689652906
1929-10-31,134813.4677652906
1929-11-30,134809.2639252906
1929-12-31,134806.1689252906
1930-01-31,134803.6977252906
1930-02-28,134801.27212529062
1930-03-31,134798.4621652906
1930-04-30,134797.0725252906
1930-05-31,134707.25824139337
1930-06-30,134579.53684825276
1930-07-31,134454.60064825276
1930-08-31,134327.86440825276
1930-09-30,134286.59312338734
1930-10-31,134252.58871102447
1930-11-30,134248.68687102446
1930-12-31,134245.32387102445
1931-01-31,134242.42367102444
1931-02-28,134239.44475102445
1931-03-31,134199.22079581162
1931-04-30,134127.46692151448
1931-05-31,134000.2334015145
1931-06-30,133871.61736151448
1931-07-31,133746.95316151448
1931-08-31,133620.2669215145
1931-09-30,133613.67368151448
1931-10-31,133596.88904369884
1931-11-30,133592.65620369886
1931-12-31,133591.75920369884
1932-01-31,133591.32300369884
1932-02-29,133591.75008369886
1932-03-31,133592.51912369885
1932-04-30,133590.73348369886
1932-05-31,133563.828866989
1932-06-30,133528.60447384842
1932-07-31,133460.20253164208
1932-08-31,133413.3113275344
1932-09-30,133408.42508753444
1932-10-31,133403.31288753438
1932-11-30,133400.26604753445
1932-12-31,133398.87504753438
1933-01-31,133401.03384753445
1933-02-28,133399.82824753446
1933-03-31,133400.20928753444
1933-04-30,133399.00564753445
1933-05-31,133346.56203082454
1933-06-30,133287.246637684
1933-07-31,133212.24389630812
1933-08-31,133105.74338030038
1933-09-30,133102.1121403004
1933-10-31,133097.6299403004
1933-11-30,133095.4181003004
1933-12-31,133093.9721003004
1934-01-31,133092.6359003004
1934-02-28,133091.3973003004
1934-03-31,133089.04634030038
1934-04-30,133036.34706600328
1934-05-31,132912.47054600331
1934-06-30,132786.53750600328
1934-07-31,132664.61330600327
1934-08-31,132540.38706600328
1934-09-30,132535.4928260033
1934-10-31,132530.3846260033
1934-11-30,132528.0487860033
1934-12-31,132525.6887860033
1935-01-31,132525.3235860033
1935-02-28,132524.8046660033
1935-03-31,132525.9677060033
1935-04-30,132529.1510660033
1935-05-31,132505.91544929345
1935-06-30,132448.02905615288
1935-07-31,132369.542314777
1935-08-31,132323.07511066936
1935-09-30,132319.30487066932
1935-10-31,132314.73267066933
1935-11-30,132312.30127066933
1935-12-31,132310.19327066932
1936-01-31,132307.84107066932
1936-02-29,132310.29615066937
1936-03-31,132312.81019066935
1936-04-30,132323.72055066936
1936-05-31,132318.4719339595
1936-06-30,132290.94454081892
1936-07-31,132240.48576024614
1936-08-31,132193.75055613846
1936-09-30,132190.76331613847
1936-10-31,132189.45611613846
1936-11-30,132187.22727613847
1936-12-31,132186.53627613847
1937-01-31,132186.90507613847
1937-02-28,132205.02715613847
1937-03-31,132222.61219613848
1937-04-30,132247.9215561385
1937-05-31,132299.1620361385
1937-06-30,132327.9729961385
1937-07-31,132329.8107961385
1937-08-31,132329.2985561385
1937-09-30,132328.87931613848
1937-10-31,132327.8681161385
1937-11-30,132327.1762761385
1937-12-31,132330.6132761385
1938-01-31,132332.8620761385
1938-02-28,132336.5101561385
1938-03-31,132363.9931961385
1938-04-30,132398.6375561385
1938-05-31,132446.0770361385
1938-06-30,132485.1409961385
1938-07-31,132497.3387961385
1938-08-31,132499.4755561385
1938-09-30,132501.6793161385
1938-10-31,132503.18511613848
1938-11-30,132505.8842761385
1938-12-31,132508.5792761385
1939-01-31,132511.8560761385
1939-02-28,132516.4641561385
1939-03-31,132523.3541961385
1939-04-30,132527.9015561385
1939-05-31,132506.11993942867
1939-06-30,132473.55554628806
1939-07-31,132375.67315554855
1939-08-31,132266.5379514409
1939-09-30,132267.1017114409
1939-10-31,132268.1215114409
1939-11-30,132269.5136714409
1939-12-31,132270.89167144088
1940-01-31,132276.13347144087
1940-02-29,132285.35855144088
1940-03-31,132293.74659144087
1940-04-30,132304.49095144088
1940-05-31,132304.349334731
1940-06-30,132285.04494159046
1940-07-31,132238.33220021456
1940-08-31,132215.90790232515
1940-09-30,132216.18566232515
1940-10-31,132217.60946232517
1940-11-30,132219.19062232514
1940-12-31,132223.09662232513
1941-01-31,132229.0164223251
1941-02-28,132243.8725023251
1941-03-31,132261.38654232517
1941-04-30,132282.86590232517
1941-05-31,132340.28638232517
1941-06-30,132383.70434232513
1941-07-31,132401.36714232512
1941-08-31,132403.12490232513
1941-09-30,132404.81166232517
1941-10-31,132406.9144623251
1941-11-30,132409.53462232513
1941-12-31,132413.03062232517
1942-01-31,132419.88842232517
1942-02-28,132424.8315023251
