capacity,cost
4.354175991359639e-07,69.040001
4.898447990279593e-07,52.599998
5.44271998919955e-07,37.61042800000001
5.986991988119504e-07,22.64086
6.531263987039459e-07,7.68
7.075535985959415e-07,3.35
7.619807984879369e-07,1.33
8.164079983799323e-07,0.69
8.708351982719278e-07,0.21
9.252623981639237e-07,0.0
