capacity,cost
4.9416952545889416e-06,216.61000099999998
5.4123328978831285e-06,180.050003
6.118289362824405e-06,140.20114099999998
6.58892700611859e-06,113.63855
7.059564649412773e-06,87.095955
7.53020229270696e-06,60.560001
8.000839936001144e-06,37.23
8.471477579295328e-06,20.91
8.942115222589514e-06,10.9
9.412752865883699e-06,3.37
1.0118709330824975e-05,0.0
